"page_id","urlslug","ID","ALIGN","SEX","ALIVE","APPEARANCES","FIRST.APPEARANCE","comic","PHYSICAL"
666101,"\/Jonathan_Dillon_(Earth-616)","Public Identity","","Male Characters","Living Characters",4,"Apr-97","marvel","Blue Eyes , Brown Hair"
280850,"\/John_(Mutant)_(Earth-616)","Public Identity","","Male Characters","Deceased Characters",NA,"Oct-01","marvl","Blue Eyes , Blond Hair"
129267,"\/wiki\/Gene_LaBostrie_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",15,"1987, September","DC comics"," , Black Hair"
157368,"\/wiki\/Reemuz_(New_Earth)","Public Identity","Good Characters","Male Characters","Deceased Characters",15,"1992, September","DC","Black Eyes , "
16171,"\/Aquon_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Jul-73","marvl"," , "
240298,"\/wiki\/Rachel_Berkowitz_(New_Earth)","Secret Identity","Bad Characters","Female Characters","Living Characters",4,"2002, April","DC"," , Black Hair"
186659,"\/wiki\/Golem_II_(New_Earth)","","Bad Characters","Male Characters","Living Characters",NA,"1999, May","DC"," , "
288877,"\/Burka_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",1,"Oct-86","Marvel Comics"," , "
402328,"\/Max_Lohmer_(Earth-616)","","Bad Characters","Male Characters","Living Characters",14,"Jul-06","marvelcomics","Blue Eyes , Blond Hair"
22342,"\/Paul_Harker_(Earth-616)","Public Identity","Neutral Characters","Male Characters","Deceased Characters",7,"Aug-89","marvelcomics"," , Grey Hair"
58368,"\/wiki\/Mick_Wong_(New_Earth)","Public Identity","Good Characters","Male Characters","Deceased Characters",10,"2004, July","dc comics","Brown Eyes , Black Hair"
552332,"\/Hakurei","","Bad Characters","Male Characters","Living Characters",NA,"May-04","Marvel"," , "
744231,"\/Jaq_(Earth-616)","No Dual Identity","Neutral Characters","","Living Characters",1,"Dec-99","Marvel"," , "
191511,"\/Devil_Dinosaur_(Skrull)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Jan-09","marvl","Green Eyes , No Hair"
2448,"\/Terminus_(Destroyer)_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",25,"Aug-84","MV","White Eyes , "
1030,"\/Adam_Neramani_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",21,"Oct-93","marvl","Blue Eyes , Blond Hair"
79575,"\/Horatio_Huxley_(Earth-616)","No Dual Identity","Bad Characters","Male Characters","Living Characters",12,"Sep-97","marvelcomics"," , Bald"
481595,"\/Ahmet_(Earth-616)","Public Identity","Bad Characters","Male Characters","Deceased Characters",1,"Feb-86","Marvel Comics"," , Grey Hair"
740622,"\/General_Sergei_(Earth-616)","No Dual Identity","","Male Characters","Deceased Characters",4,"Nov-98","marvl","Brown Eyes , Grey Hair"
726692,"\/Joe_Self_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Aug-05","marvelcomics"," , "
494316,"\/Zaoxing_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",1,"Jan-12","marvl","Brown Eyes , Black Hair"
283471,"\/wiki\/William_McKinley_(New_Earth)","Public Identity","Good Characters","Male Characters","Living Characters",NA,"","DC"," , "
10711,"\/wiki\/Aruna_Shende_(New_Earth)","Secret Identity","Good Characters","Genderless Characters","Living Characters",2,"2000, August","DC","Brown Eyes , Black Hair"
128111,"\/wiki\/Andre_de_Sevigne_(New_Earth)","","Good Characters","Male Characters","Deceased Characters",6,"1968, May","DC comics"," , "
207681,"\/wiki\/Cossack_the_Dark_Rider_(New_Earth)","Secret Identity","Bad Characters","Male Characters","Living Characters",5,"1986, March","DC comics"," , "
1970,"\/wiki\/Inza_Cramer_(New_Earth)","Secret Identity","Good Characters","Female Characters","Deceased Characters",124,"1940, May","DC","Green Eyes , Strawberry Blond Hair"
2153,"\/Scott_Wright_(Earth-616)","Secret Identity","Good Characters","Male Characters","Living Characters",35,"Nov-91","marvelcomics","Blue Eyes , Brown Hair"
23940,"\/Unam_(Earth-616)","Secret Identity","Good Characters","Male Characters","Deceased Characters",7,"Oct-83","Marvel Comics"," , "
16078,"\/Alden_Maas_(Earth-616)","","Bad Characters","Male Characters","Deceased Characters",3,"Feb-84","marvl"," , "
2544,"\/Victoria_Star_(Earth-616)","Public Identity","Good Characters","Female Characters","Living Characters",19,"Nov-81","marvel","Blue Eyes , Blond Hair"
7619,"\/Malcolm_Knight_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",3,"Jun-90","Marvel","Blue Eyes , Blond Hair"
311938,"\/Cornelius_Webb_(Earth-616)","","Bad Characters","Male Characters","Deceased Characters",1,"Dec-69","Marvel"," , "
19157,"\/Conrad_Josten_(Earth-616)","Secret Identity","","Male Characters","Living Characters",24,"Jul-98","Marvel Comics","Brown Eyes , Brown Hair"
512298,"\/Fox_(Miss_America_Foe)_(Earth-616)","","Bad Characters","Male Characters","Living Characters",1,"Nov-45","Marvel Comics"," , Black Hair"
43779,"\/Ruffio_Costa_(Earth-616)","Public Identity","Bad Characters","Male Characters","Living Characters",1,"Oct-76","marvel"," , Black Hair"
63569,"\/Technocrat_(Earth-616)","Secret Identity","Bad Characters","Male Characters","Living Characters",1,"Feb-92","marvel","Pink Eyes , Black Hair"
183116,"\/wiki\/Bette_Noir_(New_Earth)","Secret Identity","Bad Characters","Female Characters","Living Characters",2,"1999, February","dc comics","Grey Eyes , Black Hair"
16159,"\/Marie_Laveau_(Earth-616)","Secret Identity","Bad Characters","Female Characters","Living Characters",14,"Sep-73","Marvel","Blue Eyes , Black Hair"
