VID,Passengers,Vehicle_Info,Daily_Rate
034,12,034 12 passenger 2003 Chev -  *Air conditioning does not work *,23
046,12,046 12 passenger 2004 Chevrolet Van,23
051,7,051 7 passenger 2005 Dodge Caravan,23
052,5,052   5 passenger 2005 Chevrolet Impala,17
053,5,053 5 passenger 2005 Chevrolet Impala,17
055,7,055 7 passenger 2005 Grand Caravan with hitch,23
062,5,062 5 passenger 2006 Ford Taurus,17
063,5,063 5 passenger 2006 Ford Taurus,17
064,5,064 5 passenger 2006 Ford Taurus,17
065,5,065 5 passenger 2006 Dodge Durango with hitch,23
066,5,066 5 passenger 2006 Honda Civic Hybrid,17
071,5,071 5 passenger 2007 Honda Civic Hybrid,17
072,7,072 7 passenger 2007 Honda Odyssey with hitch,23
073,12,073 12 passenger 2007 GMC Savana,23
082,7,082 7 passenger 2008 Grand Caravan,23
092,5,092 5 passenger 2009 Toyota Camry Hybrid,17
093,5,093 5 Passenger 2009 Toyota Camry Hybrid,17
094,12,094 12 Passenger 2009 Ford E350,23
095,12,095 12 Passenger 2009 Ford E350,23
101,5,101 5 passenger 2010 Toyota Prius Hybrid,17
111,5,111 5 passenger  2011 Ford Escape Hybrid,23
112,5,112 5 passenger 2011 Ford Fusion Hybrid,17
113,5,113 5 passenger 2011 Ford Fusion Hybrid,17
121,7,121 7 passenger 2012 Toyota Sienna with hitch,23
122,5,122 5 passenger 2012 Toyota Camry,17
123,7,123 7 passenger 2012 Toyota Sienna with hitch,23
124,5,124 5 passenger 2012 Toyota Camry,17
125,7,125 7 passenger 2011 Ford Explorer with hitch,23
131,5,131 5 Passenger 2013 Ford Fusion,17
132,7,132 7 passenger 2013 Ford Econoline Wagon with hitch,23
143,7,143 7 Passenger 2014 Ford Econoline Wagon with hitch,23
144,7,144  7 Passenger 2014 Ford Econoline Sport with hitch,23
145,12,145 12 Passenger 2014 Ford Econoline Sport,23
150,7,150 7 Passenger 2015 Dodge Grand Caravan,23
151,7,151 7 Passenger 2015 Dodge Grand Caravan,23
152,7,152 7 Passenger 2015 Dodge Grand Caravan,
153,5,153 5 Passenger 2015 Dodge Dart,17
154,5,154 5 Passenger 2015 Dodge Dart,17
162,7,162 7 Passenger 2016 Ford Explorer,23
163,5,163 5 Passenger 2017 Ford Escape,23
164,12,164 12 Passenger 2017 Ford Transit,23
165,7,165 7 Passenger 2017 Dodge Caravan,23
166,5,166  5 Passenger 2017 Chevy Impala,23
