Depart,Return,Year,Length_days,VID,Passengers
04/30/2009 2:00 PM,04/30/2009 10:00 PM,2009,0.33,052,5
04/30/2009 7:00 AM,05/01/2009 4:00 PM,2009,1.38,063,5
04/30/2009 1:00 PM,05/01/2009 11:00 PM,2009,1.42,066,5
04/30/2009 1:45 PM,04/30/2009 3:00 PM,2009,0.05,034,12
04/30/2009 6:00 AM,04/30/2009 4:00 PM,2009,0.42,046,12
05/01/2009 5:00 AM,05/01/2009 7:00 PM,2009,0.58,052,5
05/01/2009 10:00 AM,05/02/2009 10:00 PM,2009,1.5,051,7
05/01/2009 1:45 PM,05/01/2009 3:00 PM,2009,0.05,034,12
05/01/2009 8:00 AM,05/01/2009 5:00 PM,2009,0.38,046,12
04/29/2009 7:00 AM,05/01/2009 3:00 PM,2009,2.33,072,7
06/09/2009 2:00 PM,06/10/2009 9:00 PM,2009,1.29,064,5
05/12/2009 5:00 AM,05/12/2009 5:00 PM,2009,0.5,082,7
05/28/2009 10:00 AM,05/28/2009 11:00 PM,2009,0.54,065,5
06/19/2009 8:00 AM,06/21/2009 8:00 PM,2009,2.5,065,5
10/02/2009 6:00 AM,10/04/2009 8:00 PM,2009,2.58,065,5
05/03/2009 6:00 AM,05/06/2009 10:00 PM,2009,3.67,071,5
05/03/2009 10:00 AM,05/05/2009 8:00 PM,2009,2.42,092,5
05/03/2009 7:00 AM,05/05/2009 11:00 PM,2009,2.67,051,7
05/04/2009 7:00 AM,05/08/2009 4:00 PM,2009,4.38,063,5
05/04/2009 1:45 PM,05/04/2009 3:00 PM,2009,0.05,034,12
05/05/2009 4:00 PM,05/06/2009 9:00 PM,2009,1.21,052,5
05/05/2009 1:45 PM,05/05/2009 3:00 PM,2009,0.05,034,12
05/06/2009 6:00 AM,05/06/2009 10:00 PM,2009,0.67,092,5
05/06/2009 9:00 AM,05/07/2009 7:00 PM,2009,1.42,051,7
05/06/2009 1:45 PM,05/06/2009 3:00 PM,2009,0.05,034,12
05/07/2009 1:45 PM,05/07/2009 3:00 PM,2009,0.05,034,12
05/08/2009 6:00 AM,05/08/2009 10:00 PM,2009,0.67,092,5
06/08/2009 1:00 AM,06/08/2009 11:00 PM,2009,0.92,072,7
06/09/2009 8:00 AM,06/09/2009 4:30 PM,2009,0.35,073,12
06/10/2009 8:00 AM,06/10/2009 4:30 PM,2009,0.35,073,12
06/17/2009 8:00 AM,06/17/2009 4:30 PM,2009,0.35,073,12
06/18/2009 8:00 AM,06/18/2009 4:30 PM,2009,0.35,073,12
06/23/2009 8:00 AM,06/23/2009 4:30 PM,2009,0.35,046,12
11/04/2009 9:00 AM,11/09/2009 4:00 PM,2009,5.29,073,12
07/29/2009 7:30 AM,07/30/2009 7:00 PM,2009,1.48,034,12
06/30/2009 8:00 AM,06/30/2009 4:30 PM,2009,0.35,046,12
07/01/2009 8:00 AM,07/01/2009 4:30 PM,2009,0.35,046,12
05/18/2009 2:00 PM,05/19/2009 7:00 PM,2009,1.21,052,5
05/21/2009 12:00 PM,05/25/2009 8:00 PM,2009,4.33,065,5
06/11/2009 3:00 PM,06/14/2009 3:00 PM,2009,3,071,5
05/05/2009 6:00 AM,05/05/2009 7:00 PM,2009,0.54,053,5
05/07/2009 6:00 AM,05/07/2009 7:00 PM,2009,0.54,053,5
05/20/2009 8:00 AM,05/21/2009 6:00 PM,2009,1.42,092,5
05/03/2009 7:00 AM,05/06/2009 10:00 PM,2009,3.63,046,12
05/06/2009 12:00 PM,05/06/2009 11:00 PM,2009,0.46,073,12
04/30/2009 8:00 AM,04/30/2009 2:00 PM,2009,0.25,053,5
05/06/2009 9:00 AM,05/06/2009 3:00 PM,2009,0.25,055,7
10/04/2009 10:00 AM,10/09/2009 4:00 PM,2009,5.25,073,12
07/14/2009 10:00 AM,07/16/2009 10:00 PM,2009,2.5,073,12
06/09/2009 7:00 AM,06/09/2009 2:45 PM,2009,0.32,072,7
07/02/2009 8:00 AM,07/02/2009 4:30 PM,2009,0.35,046,12
07/07/2009 8:00 AM,07/07/2009 4:30 PM,2009,0.35,046,12
05/08/2009 1:45 PM,05/08/2009 3:00 PM,2009,0.05,034,12
07/08/2009 8:00 AM,07/08/2009 4:30 PM,2009,0.35,046,12
07/09/2009 8:00 AM,07/09/2009 4:30 PM,2009,0.35,046,12
07/14/2009 8:00 AM,07/14/2009 4:30 PM,2009,0.35,046,12
07/15/2009 8:00 AM,07/15/2009 4:30 PM,2009,0.35,046,12
07/16/2009 8:00 AM,07/16/2009 4:30 PM,2009,0.35,046,12
07/21/2009 8:00 AM,07/21/2009 4:30 PM,2009,0.35,046,12
07/22/2009 8:00 AM,07/22/2009 4:30 PM,2009,0.35,046,12
07/23/2009 8:00 AM,07/23/2009 4:45 PM,2009,0.36,046,12
07/28/2009 8:00 AM,07/28/2009 4:30 PM,2009,0.35,046,12
07/29/2009 8:00 AM,07/29/2009 4:30 PM,2009,0.35,046,12
07/30/2009 8:00 AM,07/30/2009 4:30 PM,2009,0.35,046,12
08/04/2009 8:00 AM,08/04/2009 4:30 PM,2009,0.35,046,12
08/05/2009 8:00 AM,08/05/2009 4:30 PM,2009,0.35,046,12
